Mat ID,Unit Price,Manuf name,Organization,Inventory Quantity,Inventory CapEx,Open Quantity,Open Quantity Value,Backorder Quantity,Median Leadtime,Predicted Capex,Inventory Exhaust Date,Safety Stock,Stock Level Flag,Reorder Point,Quantity to order,Reorder Date,Recommendation
GM22159308,500.0,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",1538,1271540.94,3297,1648500.0,211,40,722000.0,01-09-2024,446,Overstock,2293,1444,27-10-2024,
GM22277280,43.45,BorgWarner (AWD),"Britain Chevrolet, Inc.",237,11243.28,1220,53009.0,14,75,2693.9,01-09-2024,109,Overstock,362,62,04-06-2025,Push PO to 11-15-2024
GM21938625,0.01,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",288,2516.16,0,0.0,16,109,0.24,01-09-2024,26,Optimal,153,24,25-05-2025,
GM22256780,7.73,ALKAR,STANLEY,1180,9937.99,1600,12368.0,379,120,1491.89,01-09-2024,407,Optimal,1905,193,21-10-2024,
GM22277279,42.76,BorgWarner (AWD),"Britain Chevrolet, Inc.",42,1958.88,432,18472.32,5,95,940.72,03-09-2024,58,Overstock,197,22,10-02-2025,
GM22049448,2730.0,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",13,39032.95,45,122850.0,16,44,10920.0,05-09-2024,6,Overstock,14,4,30-03-2025,Push PO to 10-15-2024
GM21891746,29.0,AUTO-SPEED PARTS,Buttonpaper Limited,1438,44310.58,1422,41238.0,404,47,5916.0,06-09-2024,289,Overstock,1109,204,03-01-2025,
GM22268394,750.0,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",307,670618.01,251,188250.0,91,61,5250.0,10-09-2024,100,Optimal,417,7,29-09-2024,
GM22274899,24.0,MONROE,"Argonaut Holdings, Inc.",6099,156454.96,0,0.0,7,139,0.0,10-09-2024,174,Overstock,344,0,,
GM22278958,350.0,AMPRO,"Argonaut Holdings, Inc.",846,296116.92,1682,588700.0,57,59,0.0,10-09-2024,37,Overstock,58,0,,Push PO to 10-30-2024
GM22269679,53.01,Delphi-TVS Diesel Systems Limited,Autohaus G.V.O. GmbH,13,749.84,225,11927.25,30,113,2279.43,11-09-2024,70,Optimal,156,43,18-11-2024,Pull PO to 09-01-2024 & Place PO
GM22127143,0.01,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",45,586.8,0,0.0,6,37,0.06,16-09-2024,7,Overstock,18,6,16-12-2024,
GM21925475,335.76,Delphi-TVS Diesel Systems Limited,Autohaus G.V.O. GmbH,0,0.0,130,43648.8,16,90,2686.08,18-09-2024,19,Optimal,77,8,07-03-2025,Pull PO to 09-01-2024 & Place PO
GM22281191,2217.5,ASYSUM,Buttonpaper Limited,82,183643.13,40,88700.0,0,38,31045.0,18-09-2024,15,Overstock,58,14,08-11-2024,Push PO to 10-09-2024
GM21875448,14.58,ALKAR,STANLEY,2575,40949.16,4334,63189.72,0,62,0.0,19-09-2024,148,Overstock,498,0,,Push PO to 11-02-2024
