Mat ID,Inventory Turn Over Rate,Forecast Accuracy,Fill Rate,Back Order Rate
GM22281191,14.55,97.19,96.3,0.0
GM22145889,7.31,100.0,100.0,0.0
GM22147925,7.45,86.21,93.0,0.0
GM22246237,3.87,91.32,89.39,100.0
GM22130210,9.62,84.26,79.9,26.98
GM22241647,4.26,56.52,90.74,0.0
GM22247460,13.0,68.65,79.39,100.0
GM21828130,14.57,82.6,63.69,95.45
GM22247461,5.51,95.81,91.15,100.0
GM22278537,1.5,42.27,93.4,100.0
GM22178842,7.98,79.8,100.0,0.0
GM22171412,0.53,53.67,100.0,0.0
GM22070274,0.23,50.0,100.0,0.0
GM22078084,0.43,0.0,100.0,0.0
GM22144378,5.26,37.66,59.07,33.33
GM22129419,3.94,88.57,100.0,0.0
GM22049077,2.01,15.38,99.36,4.55
GM22247452,5.15,49.12,100.0,0.0
GM21948536,1.54,100.0,100.0,0.0
GM22278487,1.15,27.05,98.41,100.0
GM21960640,2.26,95.83,93.75,0.0
GM22243334,2.79,0.0,81.25,0.0
GM21955818,2.12,83.64,100.0,0.0
GM22246302,1.32,53.06,100.0,0.0
GM22228081,2.18,90.48,100.0,0.0
GM22004072,1.26,67.54,100.0,0.0
GM22145393,5.78,78.63,100.0,0.0
GM21880227,10.57,51.94,48.58,100.0
GM21932984,7.34,91.89,37.04,58.82
GM21988820,2.21,80.0,89.53,0.0
GM21938567,2.76,69.57,94.62,5.08
GM22180187,2.36,88.89,94.12,0.0
GM22164089,0.29,43.75,100.0,0.0
GM22261213,1.95,90.0,100.0,0.0
GM22164452,16.73,93.97,75.49,100.0
GM22217581,2.64,86.96,100.0,0.0
GM22217636,3.86,85.0,100.0,0.0
GM22277280,5.9,90.97,80.11,56.25
GM21959188,1.26,65.52,100.0,0.0
GM21938565,2.17,69.01,93.09,6.45
GM22178457,3.95,67.57,100.0,0.0
GM22259463,3.85,51.52,99.06,1.14
GM21959484,0.9,76.92,100.0,0.0
GM22027671,2.03,88.24,100.0,0.0
GM22234104,0.82,77.05,100.0,0.0
GM22249529,2.12,16.67,100.0,0.0
GM22083744,8.02,99.24,94.5,10.06
GM22081464,5.13,87.24,95.65,23.08
GM22242798,5.72,98.15,94.83,0.0
GM22256780,11.6,87.28,50.6,91.34
GM22277279,3.98,99.66,90.32,47.83
GM22049448,4.65,88.14,54.9,46.67
GM22178463,3.48,58.33,84.21,18.18
GM21938562,2.29,68.54,100.0,0.0
GM22147163,2.86,81.82,100.0,0.0
GM22147950,3.42,98.37,99.86,0.74
GM22179066,1.76,0.0,100.0,0.0
GM22234089,0.96,77.05,100.0,0.0
GM22147159,2.34,20.83,100.0,0.0
GM22215103,3.87,83.33,100.0,0.0
GM22021031,0.99,95.24,97.5,5.26
GM21891746,2.85,85.59,26.47,21.41
GM21928621,2.12,85.42,100.0,0.0
GM22214601,6.8,94.53,81.88,87.88
GM22021104,2.39,66.67,100.0,0.0
GM22247474,4.28,54.46,91.7,100.0
GM22247486,2.18,61.13,90.85,100.0
GM22135805,2.0,0.0,100.0,0.0
GM22159089,6.47,76.52,96.78,4.66
GM21926734,4.24,68.12,76.79,27.27
GM22070273,9.0,97.08,72.27,10.07
GM22144973,4.53,92.31,79.49,50.0
GM22204713,5.16,94.77,99.25,6.67
GM21939945,3.5,87.8,95.79,0.0
GM22194171,2.81,0.0,60.32,0.0
GM22213671,3.7,0.0,100.0,0.0
GM22246303,3.49,86.99,100.0,0.0
GM22242832,1.0,79.49,100.0,0.0
GM22178250,1.77,86.57,100.0,0.0
GM22188033,4.97,80.33,98.96,2.0
GM22260974,0.08,97.37,100.0,0.0
GM22185870,0.29,85.71,100.0,0.0
GM21960607,12.45,83.33,40.85,63.64
GM22213665,3.76,56.34,96.57,0.0
GM22230643,10.87,93.88,86.02,30.77
GM22130211,8.02,86.96,94.81,0.0
GM22250038,7.89,89.73,92.86,0.66
GM22162717,1.01,84.62,100.0,0.0
GM22169482,3.9,89.51,100.0,0.0
GM22230239,7.49,78.35,100.0,0.0
GM21922329,0.62,66.67,98.53,2.41
GM21933091,9.31,76.92,96.67,0.0
GM22274899,0.13,91.61,100.0,0.0
GM22199881,7.43,90.91,90.7,100.0
GM22241485,3.39,67.86,99.92,0.0
GM22127144,5.03,47.76,100.0,0.0
GM21856623,4.38,99.0,100.0,0.0
GM22230333,0.58,92.5,100.0,0.0
GM21895628,5.08,90.0,89.76,100.0
GM22180889,2.37,75.0,100.0,0.0
GM22250050,4.64,84.13,79.17,16.0
GM22278958,18.58,72.39,43.77,95.0
GM22269679,3.82,56.06,100.0,0.0
GM22035340,5.88,66.67,40.0,0.0
GM22281091,3.56,91.11,84.0,3.85
GM22250045,4.99,92.97,100.0,0.0
GM22281194,10.03,81.73,89.62,0.0
GM22246305,2.54,89.8,100.0,0.0
GM21897833,1.43,0.0,83.33,0.0
GM22171199,12.77,92.97,82.2,100.0
GM22070272,6.09,98.71,96.44,0.0
GM22250753,1.04,60.53,84.62,45.45
GM21959647,0.84,95.31,99.47,0.0
GM22247303,5.32,98.54,97.01,0.0
GM22278539,0.56,8.51,100.0,0.0
GM22187754,5.4,82.53,72.16,0.0
GM22247479,3.32,52.17,100.0,0.0
GM22132467,2.74,50.0,100.0,0.0
GM22258126,1.76,27.78,100.0,0.0
GM22141991,0.02,0.0,50.0,0.0
GM22246956,1.65,76.67,100.0,0.0
GM22185300,1.5,0.0,50.0,0.0
GM22274900,0.15,97.14,100.0,0.0
GM22258033,0.55,17.5,100.0,0.0
GM21924972,1.78,100.0,100.0,0.0
GM22199905,1.22,0.0,57.14,0.0
GM22280588,0.47,88.89,100.0,0.0
GM22252523,0.39,100.0,100.0,0.0
GM21873681,0.84,45.45,91.84,0.0
GM21918600,1.41,88.89,86.58,0.0
GM22268421,2.14,0.0,66.67,0.0
GM22247281,5.57,89.12,82.27,0.0
GM22252518,1.42,0.0,100.0,0.0
GM22177822,2.56,15.49,100.0,0.0
GM22252528,0.33,75.0,100.0,0.0
GM21875448,2.87,0.0,87.0,51.22
GM22275938,5.58,0.0,71.21,0.52
GM22194197,4.15,0.0,100.0,0.0
GM22246685,4.55,0.0,100.0,0.0
GM22250585,6.21,0.0,97.96,0.97
GM21925211,4.74,0.0,92.57,0.22
GM22250468,4.31,0.0,100.0,0.0
GM21882483,6.76,0.0,97.71,0.26
GM22027672,3.01,0.0,100.0,0.0
GM22055515,7.11,0.0,98.19,0.0
GM22247264,8.28,0.0,83.98,8.33
GM22167920,9.67,0.0,98.48,100.0
GM22226859,2.23,0.0,100.0,0.0
GM22250037,8.41,0.0,87.12,9.42
GM21849783,8.48,0.0,99.43,0.0
GM22159308,6.93,0.0,21.38,83.55
GM22247265,7.16,0.0,90.19,19.25
GM21841984,7.48,0.0,82.3,25.24
GM22247463,5.47,0.0,78.13,88.89
GM21938625,0.6,0.0,20.62,13.01
GM22140808,5.23,0.0,100.0,0.0
GM22201015,13.78,0.0,92.69,0.0
GM22171103,8.7,0.0,94.39,5.83
GM22230064,6.83,0.0,99.44,0.0
GM22215639,11.4,0.0,91.45,0.0
GM22246687,9.84,0.0,95.13,0.0
GM22248482,6.09,0.0,100.0,0.0
GM21907181,2.48,0.0,99.88,0.63
GM21932454,4.26,0.0,100.0,0.0
GM22070271,1.47,0.0,100.0,0.0
